course_code,course_name,domain_knowledge,jd_skills,tools
KET.F9.2,Financial Management 2,"Corporate financial management, Valuation of bonds and stocks, Cost of capital models (cost of equity, cost of debt, WACC), Capital structure theories, Dividend policies, Financial risk management (interest rates, foreign currencies), Business valuation methods, Market efficiency theories","Calculate corporate cost of capital, Evaluate corporate financing options, Apply asset and business valuation models, Develop risk mitigation plans, Formulate financial strategies, Process and present financial data","IT tools, Excel"
QTRE444,Agile Project Management,"Agile methodology principles, Agile Manifesto values and principles, Conventional vs agile approaches, Agile project frameworks and methods, Stakeholder engagement in agile, Agile performance metrics, APM dimensions (time, cost, risk, quality management)","Gather agile requirements, Agile project estimation, Agile release planning, Track performance metrics, Apply agile PM tools for project execution, Agile team leadership, Report writing and academic citation","Agile PM tools, Harvard citation system"
KTEE213,Impact Evaluation,"Randomized assignment, Instrumental variables, Regression discontinuity design, Difference-in-differences, Matching methods, Correlation vs causality, Impact evaluation research ethics","Select impact evaluation methods for specific policies/programs, Quantify policy intervention impacts, Develop impact evaluation projects, Quantitative data analysis, Data visualization, Deliver professional presentations","Quantitative data analysis software, Statistical visualization tools"
KET.F9.1,Financial Management 1,"Fundamentals of financial management, Corporate and stakeholder objectives, Macroeconomic environment and policy effects, Financial markets, Working capital funding strategies","Perform corporate financial analysis, Manage inventory, receivables, and payables, Manage corporate cash, Appraise investment projects, Make corporate investment decisions, Financial planning",
TCHE431,Public Finance,"Public finance nature and government role, Resource allocation foundations, Public goods provision, Cost-benefit analysis for public projects, Tax system mechanisms and theories, Tax inefficiency and excess burden, State budget positions and deficits, Public debt causes and impacts, Extra-budgetary public financial funds","Analyze specialized issues in public finance, Assess public finance policy impacts on markets and enterprises, Apply public project appraisal methods, Budget analysis, Critical thinking, Defend professional viewpoints",
TCHE453,Short-term finance,"Short-term financial decisions, Short-term financing instruments, Near-future cash flows analysis, Credit granting decisions, Financial aspects of inventory management, Cash holding motives and costs","Analyze short-term financial performance, Manage cash, credit, and inventory, Perform financial statement analysis, Read and interpret professional financial news, Deliver professional presentations, Team leadership",
DTUE303,Introduction of Investment,"Investment process basics, Capital market functions, Investment vehicles and financial instruments, Modern portfolio theory, Asset pricing models","Analyze investment vehicles, Apply portfolio management models, Apply asset pricing models, Evaluate business and investment situations, English communication & presentation, Problem-solving and teamwork",Office IT tools
TANE313,Public Speaking,"Models of communication, Types of public speaking (informative, impromptu, persuasive, introduction), Speech adaptation for audiences, Speech selection and organizational patterns, Ethical standards in communication","Conduct speech audience adaptation, Deliver speeches with vocal variety and fluent message delivery, Use relevant body language and eye contact, Design mediated and non-mediated presentational aids, Write informative and persuasive speech content, Active and analytical listening",Multimedia presentation tools
KTEE310,Financial Econometrics,"Financial econometrics principles, Financial time series analysis, AR, MA, and ARMA models, Vector Autoregression (VAR), Error Correction Models (ECM), ARCH and GARCH models","Analyze financial data series, Predict price trends, Conduct empirical financial research, Quantitative forecasting, Data analysis",Statistical software
PLUE302,Law on Finance and Banking,"Banking and financial law overview, State budget and public finance regulations, Taxation legal frameworks, Insurance and securities laws, Banking activities of credit institutions, Finance and banking violations and punishments, Dispute resolution in finance","Apply banking and financial rules to cases, Conduct legal reasoning and analysis, Legal research and writing, Counsel clients on finance and banking regulations, Resolve legal disputes in finance and banking",
QTRE446,Business Valuation,"Principles of corporate value creation, Growth and core valuation frameworks, Financial statement analysis, Performance forecasting methods, Cost of capital, Enterprise and equity value concepts, Intrinsic valuation, Relative valuation, Multiples analysis","Measure return on invested capital, Analyze corporate financial statements, Forecast business performance, Estimate cost of capital and enterprise value, Apply scenario analysis to valuations, Apply relative multiple analysis, Written/oral business valuation reporting","IT tools, Excel"
QTRE445,Strategic Financial Management,"Corporate strategy and financial management intersection, Strategic frameworks and models, Internal and external analysis, Strategic option generation and screening, Financial option implementation, Detailed sector analysis","Analyze organizational strategic direction, Represent data for professional practice, Evaluate external environment impacts, Perform detailed sector analysis, Evaluate organizational option generation and screening, Analyze companies and make decisions through case studies, Report financial solutions, Deliver professional presentations",
TMAE310,Customs Affairs,"Customs procedures and operational principles, Vietnam and global customs system, International trade and customs law, Goods classification and HS code, Determination of origin, Customs valuation principles, Anti-smuggling and trade fraud prevention, Supply chain security","Prepare import/export customs documentation, Determine HS code, origin, and customs value, Complete VNACCS declarations, Handle customs inspections, Solve customs scenarios, Collaborate on trade project reports",VNACCS
TMAE315,International Investment Project Management,"International investment project theories, Project management theories, Project lifecycle phases (initiation, planning, execution, monitoring, closure), Project organization personnel structures, Work Breakdown Structure (WBS), Project scheduling and resource allocation","Select projects and personnel structures, Develop project activity plans, Estimate project budgets, Perform project risk management, Lead project teams, Use analytical project tools","Microsoft Project, Crystal Ball, Gantt chart"
KETH319,Ứng dụng công nghệ trong kế toán,"Role of technology in accounting, Accounting information processing, Data visualization and reporting principles, Specialized accounting software concepts","Process financial and accounting transactions using IT tools, Create visualization-based accounting reports, Perform accounting data analysis, Critical thinking and professional presentation, Work with specialized accounting software","Excel, PowerBI, MISA"
TMAE406,Technology Transfer,"Categories of technology, Technology transfer concepts, Technology transfer contracts, Legal and regulatory aspects of transfer, International business operations context","Analyze technology transfer activities of enterprises, Evaluate technology transfer contracts, Perform business reasoning and communication, Comply with ethical and academic integrity standards",
KET.F8.4,Audit and Assurance Services – F8 part 2,"Financial statement audit detailed methodology, International Standards on Auditing (ISAs), Audit cycles and financial statement items, Final review and report procedures, Subsequent events and going concern principle, Auditor's report types, Written representations, Management letters","Execute audit procedures on specific items, Analyze audit evidence to assess risks, Identify potential misstatements, Apply professional skepticism, Prepare structured audit working papers, Propose audit conclusions",
TMAE330,International Taxation,"Fundamental tax theories, Taxation components and principles, Tax system in Vietnam, Personal Income Tax (PIT), Special Consumption Tax (SCT), Import–Export Duties, Value-Added Tax (VAT), Corporate Income Tax (CIT)","Perform tax calculation, Analyze tax cases and compliance issues, Apply tax rules to international business transactions, Academic and professional presentations",
QTRE442,Corporate Governance,"Principles, theories, and practices of corporate governance, Roles of shareholders, stakeholders, and boards, Theoretical foundations and governance models, Corporate risk governance mechanisms, Disclosure practices, Corporate Social Responsibility (CSR) and sustainability","Analyze corporate governance structures, Assess board performance and composition, Evaluate risk governance mechanisms, Propose governance solutions, Apply CSR and sustainability initiatives, Case-based analysis and presentation, Critical thinking and teamwork leadership",
TCHE421,Strategic Corporate Finance,"Strategic corporate finance principles, Economic value and market value, Capital allocation strategies, Cash flow forecasting and risk assessment, Income distribution policies, Capital structure decisions, Bankruptcy and corporate restructuring, Mergers & acquisitions (M&A) mechanisms","Formulate corporate financial decisions, Perform corporate financial valuation, Execute M&A and restructuring analysis, Design quantitative models for strategic decisions, Process financial data using software, Academic English communication, Team leadership",Corporate finance modeling software
QTRE206,Personal Financial Management,"Personal financial planning process, Time value of money principles, Personal financial statements, Cash flow management and budgeting, Credit management strategies, Consumption and financing choices, Asset protection and insurance, Investment portfolio design, Retirement and estate planning","Assess individual financial position, Analyze and project personal cash flows, Formulate budgets, Develop tailored investment and debt reduction plans, Design and justify personal financial plans, Case study analysis",Budgeting tools
TCHE446,Entrepreneurship and Innovation,"Innovation and entrepreneurship concepts, Innovation strategies, Technological trajectories, Competitive environments, Market, technological, and organizational change, Venture creation planning, Raising capital and building management teams, Organizational learning, alliances, and corporate ventures","Assess markets and identify business opportunities, Design innovation strategies, Develop and test business models, Plan early-stage venture operations, Analyze business cases and propose solutions, Pitch and present business ideas, Innovation project management",Innovation mapping models
QTRE212/QTRH212,Leadership and strategy practicum,"Strategic leadership and management planning, Organizational structuring and restructuring, Human Resource Management strategic roles, Power, conflict, and coalitions within organizations, Manager as change agent, Organizational culture (myths, values, identities, rituals), Change management frameworks","Develop strategic leadership plans, Analyze organizational situations from multiple perspectives, Engage in structured reflection, Design effective change management plans, Problem-solving for complex/wicked problems, Interpersonal skills (collaboration, presentation, motivation), Team leadership",
TMAE408,Intellectual Property,"Intellectual property rights principles, Objects of intellectual property (copyright, industrial property, plant varieties), Intellectual property role in business and state, Relationship between intellectual property and trade","Assess and resolve intellectual property issues, Retrieve legal documents and patent data, Apply IP knowledge to international operations, Propose IP protection and licensing solutions, Academic and professional communication","Intellectual property databases, Legal retrieval tools"
COSE401/COSH401,Software Quality Assurance,"Software quality assurance concepts, Quality standards, Review techniques (requirements, analysis, design, source code), Software testing methodologies","Perform quality assurance activities across the software lifecycle, Conduct requirements and design reviews, Perform source code reviews, Implement automated testing, Write test plans and cases","Selenium, Automated testing tools"
TMAE410,Trade Facilitation,"Theories and regulatory frameworks of trade facilitation, Trade transaction costs, Trade policy instruments, Doha Development Agenda, WTO Trade Facilitation Agreement (freedom of transit, fees, formalities, transparency)","Analyze strategic trade facilitation issues, Assess trade process effectiveness, Propose process improvements, Develop trade processes that align with agreements, Present analysis and recommendations",
TCHE429,Project Financing,"Project financing structures, Project risk identification and mitigation, Funding sources and financing criteria, Project evaluation and appraisal techniques, Cash flow analysis and projections, Cost of capital, Risk-return considerations","Assess feasibility of project finance mobilization, Analyze data and compile project financing reports, Design project financing plans, Collaborate on financial case studies, Deliver professional presentations","Financial modeling software, MS Teams, FTU e-Learning"
QTRE443,The Fundamentals of M&A and Corporate Restructurings,"Corporate restructuring concepts, M&A processes and board governance, Leveraged buyouts, Consulting and finance roles in M&A, Merger integration (operational and financial), Corporate distress, financial restructuring, and bankruptcy, Joint ventures and strategic alliances, M&A commercial, legal, and tax context (Vietnam & international)","Evaluate M&A transactions, Analyze financial statements and industry reports, Conduct M&A case study analysis, Draft written restructuring reports, Deliver oral M&A presentations, Apply restructuring frameworks",Harvard citation system
MKTE405,Marketing of Financial Services,"Marketing principles for financial and banking services, Financial market dynamics, Customer behavior in finance and banking, Product and service development in banking, Branding strategies, Digital marketing in banking, Financial service characteristics (intangibility, trust, regulation), Fintech and digital transformation trends","Analyze financial markets, Develop marketing plans for financial/banking services, Design targeted marketing campaigns, Manage marketing projects, Teamwork and leadership",
TMAE412,Trade in Services,"International trade in services concepts, Characteristics and roles of trade in services, General Agreement on Trade in Services (GATS), WTO principles and service commitments, National service sector policies, Service export strategies","Identify service trade economic phenomena, Analyze international service markets, Propose service export solutions, Perform compliance checks against trade policies",
PLUE424,Competition Law,"Economic competition and policy, Competition economics (industrial-organisation theory), Vietnamese Competition Law, WTO competition provisions, Competition commitments in FTAs, Relevant market concepts and definition methods, Anti-competitive practices (agreements, abuse of power, concentrations), Unfair competition rules, Competition authorities jurisdiction and procedure","Define relevant markets, Assess anti-competitive impact of business transactions, Analyze anti-competitive agreements, Solve competition-law issues, Research international competition law and policy, Teamwork and professional presentation",
QTRE440,Electronic supply chain management,"Integrated supply chain, Procurement and service management strategies, E-commerce in supply chains, Information technology in SCM, Supply chain synchronization, Global electronic supply chain implications, E-supply chain trends and challenges, Management information systems (MIS)","Plan, organize, operate, and control SCM processes, Design, analyze, and improve e-business supply chains, Perform case study analysis and write SCM reports, Apply ICT in supply chain operations, Collaborative teamwork, Retrieve online business information","office software (Word, Excel, PowerPoint), LAN/Internet tools, Management Information Systems (MIS)"
TMAE205,Transport Economics,"National transportation system, Transport demand and capacity, Labor, wages, and costs in transport, Pricing and freight rates, Revenue and profit in transport, International transport, Maritime transport","Analyze transportation systems operations, Evaluate and optimize transport activities, Perform economic calculations (costs, pricing, freight rates, profit), Professional communication, Problem-solving and creative thinking",
KDOE302,Negotiation and conflict management,"Negotiation theories, Conflict management theories, International trade negotiation frameworks, Cross-cultural communication in negotiation, Negotiation strategies, tactics, and styles","Analyze negotiation scenarios, Design effective negotiation approaches, Evaluate negotiation outcomes, Resolve cross-border disputes, Build collaborative business relationships, Perform negotiation simulations, Work in multicultural teams",Negotiation simulation platforms
KET.F8.3,Audit and Assurance Services – F8 part 1,"Audit regulatory framework, Audit and assurance concepts, Functions of audits, Corporate governance basics, Professional ethics and conduct, Audit planning and client acceptance, Risk of material misstatement, Internal control systems, Audit evidence, assertions, and procedures","Formulate audit plans, Perform risk assessment, Analyze and recommend improvements for internal controls, Identify audit risks and propose responses, Apply professional skepticism and code of conduct, Work within an audit team",
TCHE311,AI Applications in Corporate finance,"Artificial Intelligence (AI) and Generative AI, AI in Corporate Finance, Quantitative research methods with AI, Qualitative research methods with AI, Financial modeling principles, Corporation research report structure","Use AI/Generative AI to solve corporate finance problems, Perform quantitative/qualitative research using AI, Draft industry research reports with AI assistance, Build AI-driven financial models, Analyze company corporate financial situations, Deliver financial presentations","Generative AI tools, AI-driven financial modeling software"
COSE400/COSH400,User Interface and User Experiences Design,"UI/UX design processes, User thói quen and behavior research, Mobile and web layout design, Visual design principles (color, layout, grid systems, typography), Wireframe and workflow concepts, Prototyping theories","Evaluate app usage habits, Establish app workflows and features, Create wireframes and workflows, Design professional mobile and web UI, Draft technical design reports, Present technical solutions, Teamwork","UI/UX design software, Wireframing tools, Figma"
TCHE312,Blockchain and Digital Currency,"Blockchain structure and principles, Consensus algorithms, Distributed ledger data security, Types of digital currencies (cryptocurrency, stablecoin, CBDC), Impact of digital currencies on banking, Smart contracts and decentralized finance (DeFi), Legal, security, and governance risks in blockchain","Analyze blockchain financial applications, Evaluate digital currency risks and opportunities, Assess legal and security compliance, Trace blockchain trends, Collaborative project research",
KET.F6,TAXATION – F6,"Vietnamese tax system operation, Taxpayer obligations and compliance, Personal Income Tax (PIT) liabilities, Corporate Income Tax (CIT) liabilities, Foreign Contractor Tax (FCT), Value Added Tax (VAT), Tax planning principles","Compute PIT, CIT, FCT, and VAT liabilities, Apply tax planning techniques for individuals and companies, Address tax compliance issues, Perform ethical analysis in taxation, Collaborative tax analysis",
TCHE404,Financial Technology,"FinTech overview and development, Electronic payments technology, Blockchain technology and cryptocurrencies, Capital mobilization innovations (crowdfunding, digital credit, ICOs), Investment tech (robo-advisors, big data analytics), Data analysis and modeling in FinTech","Analyze impact of tech trends on finance/banking, Evaluate potential and risks of new financial tech, Propose FinTech business solutions, Program in Python for finance, Analyze financial data and compile reports",Python
KET.F7.2,Financial Reporting 2,"Corporate financial reporting, Consolidation techniques for group accounts, Accounting standards application (taxation, non-current assets, EPS, foreign exchange rates), Creative accounting and professional ethics","Prepare financial statements for a single company, Prepare consolidated financial statements for complex groups, Perform financial ratio analysis, Interpret complex accounting data, English communication and debate",
KETE401,Auditing,"Audit regulatory and legal framework, Audit and assurance concepts, Functions of audits, Corporate governance principles, Professional ethics and codes of conduct, Audit risk assessment and planning, Internal control evaluation, Audit assertions and audit evidence, Auditor's report types, Management letters","Develop financial statement audit plans, Assess client audit risks, Analyze and recommend internal control improvements, Design and execute audit procedures, Determine appropriate auditor's reports, Apply professional skepticism",
KDOE408,International business operations,"Foreign operation expansion methods, Strategic export modes, Franchising and licensing, Outsourcing strategies, Strategic alliances, Foreign Direct Investment (FDI), International business theories","Design, select, and manage foreign operation methods, Evaluate risks in international expansion, Apply digital tools to expand operations, Maintain strategic flexibility, Collaborative problem-solving, Multicultural collaboration",digital expansion tools
QTRE439,Blockchain Applications In Business And Management,"Blockchain technology basics, Tokenization, cryptocurrencies, and stablecoins, Machine to machine payments, Identity protection in blockchain, Decentralized finance (DeFi), Blockchain in supply chain management, Distributed exchanges, Risks of blockchain technology, Digital Competency Framework","Identify business situations for blockchain deployment, Select appropriate blockchain platforms, Formulate blockchain-based business plans, Utilize smart contracts, Work in collaborative project teams, Perform office informatics and data literacy tasks","smart contracts, distributed ledgers, blockchain platforms"
KET.F7.1,Financial Reporting 1,"International Financial Reporting Standards (IFRS), Accounting for tangible and intangible non-current assets, Revenue recognition principles, Lease accounting, Financial instruments accounting, Inventory valuation, Provisions, contingent liabilities, and contingent assets","Record complicated financial transactions, Report financial performance under IFRS, English professional communication and debate, Independent and collaborative financial research",
DTUE310,Foreign Investment,"International investment theories, Forms of international investment (FDI, FPI), International investment liberalization trends, National investment policies, Regulatory frameworks for global investment, OLI framework, PESTEL model","Analyze national investment environments, Evaluate and select investment locations, Formulate corporate international investment strategies, Analyze global capital flow trends, Present and write business reports, Creative problem-solving","OLI framework, PESTEL tool"
COSE302/COSH302,IT Project Management,"IT project lifecycle phases (initiation, planning, execution, monitoring, closure), Project definition and scope management, Work Breakdown Structures (WBS), Time and cost estimation methods, Project scheduling techniques, IT project risk management, Stakeholder management, Project human resource allocation","Plan and initiate IT projects, Estimate time, budget, and resources, Develop project schedules, Monitor and control IT project progress, Utilize project management tools, Collaborate with project stakeholders",project management tools
TCHE414,International Finance,"Exchange rate determination and management, Exchange rate policies, Balance of Payments (BOP), International financial markets, Monetary and macroeconomic linkages between nations, International monetary system development, International financial institutions, Financial and banking services integration, Financial and monetary crises, Capital mobility","Evaluate exchange rate determinants, Analyze macroeconomic linkages, Identify financial crisis indicators, Propose international finance solutions, Collaborative project work, English financial presentations",financial tools and models
TMAE313,Supply Chain Management,"Forecasting, Procurement management, Inventory management, Distribution management, Supply chain integration, Total Cost of Ownership - TCO, Economic Order Quantity - EOQ","Apply qualitative and quantitative models and tools, Analyze supply chain operations in enterprises, Demand forecasting, Supplier management, Communication, Presentation, Teamwork",
TCHE310,Applied machine learning in financial analysis,"Machine learning concepts, Supervised Learning, Unsupervised Learning, Reinforcement Learning, Semi-supervised Learning, Linear regression, ARIMA, Logistic regression, Random forest, Xgboost, Decision tree, Yield curves, Valuing businesses and securities","Financial modeling process, Build and evaluate financial models, Forecasting stock prices and market indices, Predicting debt defaults, Detecting fraudulent financial statements and transactions, Collaborative tasks",Python
TCHE412,International payment,"Exchange rates, Currencies in international payments, International payment methods, International trade transactions, International banking standards, Foreign exchange, Exchange rate quotation methods, Cross-rate calculation methods, Legal regulations and professional ethics in international payments","Draft and check documents related to international payment, Negotiate and implement international payment terms, Risk analysis and risk mitigation, Critical problem solving, English communication, Teamwork",
DASE202/DASH202,Quantitative method for Economics and business,"Suy luận thống kê, Phân tích hồi quy, Suy luận nhân quả, Thiết kế thử nghiệm và bán thử nghiệm, Thử nghiệm ngẫu nhiên có kiểm soát, Biến công cụ, Phương pháp ghép nối","Phân tích dữ liệu kinh tế và kinh doanh, Ước tính tác động nhân quả, Tư duy phản biện, Giải quyết vấn đề, Truyền đạt kết quả phân tích","Python, Stata, R"
KET.F5.2,PERFORMANCE MANAGEMENT 2,"Management accounting techniques, Budgeting, Standard costing, Budget types, Budgetary systems, Quantitative analysis in budgeting, Variances analysis (basic, mix, yield, planning, operational), Performance analysis, Divisional performance, Transfer pricing","Performance measurement and control, Problem solving, Analyzing and presenting, Decision making",
DBZE306/DBZH306,Kinh doanh số (Digital Business),"Kinh doanh số, Hệ thống doanh nghiệp, Hệ thống di động, Internet, Phân tích dữ liệu, Mô hình kinh doanh số","Phát triển kế hoạch chiến lược, Tích hợp công nghệ số vào doanh nghiệp, Đề xuất ý tưởng và giải pháp chuyển đổi số, Tổng hợp, phân tích và đánh giá thông tin, Làm việc nhóm",
TMAE204,Urban Economics and City Logistics,"Urban economics, Urban logistics activities, Goods flows movement, Environmental impacts, Congestion, Energy consumption, Urban logistics systems","Apply urban logistics models to evaluate optimization potential, Apply optimization models and qualitative/quantitative methods to solve problems of urban freight transportation, Communication, Teamwork, Presentation",
TCHE425,International Financial Management,"International financial environment, International financial management, Role of MNCs, Exchange rate risk management, International investment, restructuring and financing, International working capital management (cash flow, inventory, account receivables), International tax management, International short-term financing","Combine data analysis methods and financial tools, Propose solutions in international financial management, Independent work, Teamwork, English communication",
KET.F5.1,PERFORMANCE MANAGEMENT 1,"Management accounting techniques, Cost accounting techniques, CVP analysis, Basic pricing techniques, Limiting factors, Relevant cost accounting, Basic risk management","Planning, Decision-making, Performance evaluation and control, Collecting and analyzing data, Problem solving, Presentation",
KTEE406,Development Economics,"Sustainable development process, Social and political studies, Research tools and methodology in development economics","Analyze sustainable development, Critical thinking, Presentation and debating, Data searching and analysis, Working in digital environment, Teamwork",
DTUE406,Portfolio management,"Portfolio theories, Portfolio management process, Investment objective setting, Investment policy determination, Risk and return projection, Portfolio designing, Asset allocation, Security selection, Portfolio monitoring, adjustment and evaluation, Valuation models of financial assets, Derivatives for portfolio risk management","Manage portfolios of different assets, Process and analyze financial data and models, Academic English, Teamwork, Leadership",Financial software
QTRE449,International Human Resource Management,"International Human Resource Management (IHRM), Theoretical frameworks of cultural differences, IHRM in different types of international company, Staffing, recruitment and selection, Training and development, Performance management, Compensation, Industrial relationship","Manage global workforce, Apply IHRM tools and techniques, Problem-solving and decision-making, Teamwork, Effective communication, Professional presentation",
KTEE214/KTEH214,Kinh tế số (Digital Economics),"Kinh tế số, Hàng hóa và dịch vụ số, Mô hình thị trường số, Hiệu ứng mạng, Mô hình tạo giá trị, Mô hình kinh doanh kỹ thuật số, Quyền riêng tư, quy định và chiến lược phát triển, Mô hình chuyển đổi số, Mô hình kinh doanh bền vững, Trách nhiệm xã hội của doanh nghiệp (CSR)","Phân tích các vấn đề trong phát triển nền kinh tế số, Đánh giá lợi ích - chi phí, Làm việc nhóm, Thuyết trình, Nghiên cứu",
NHAE408,Applied Technology in Finance and Banking,"Modern technology trends in finance and banking, Machine Learning and Big Data in banking, Operating principles of financial technologies, VBA programming for custom functions","Analyze data and solve financial problems, Design finance and banking solutions using VBA, Data analysis, Independent work, Teamwork","Excel, Visual Basic for Applications (VBA)"
PLUE410,International Business Law,"International business law concepts, Major international business law systems, Conflicts of laws, General principles of international business contracts, International goods sales contracts, International service contracts, International investment contracts, Methods of dispute resolution","Concluding and performing international business contracts, Synthesize, analyze, and evaluate legal regulations, Raise legal arguments to resolve specific legal issues",
TCHE409,Financial Risk Management,"Market risk, Credit risk, Liquidity risk, Operational risk, Financial derivatives (forwards, futures, options, swaps), Risk modeling, Derivative pricing, Risk mitigation strategies","Identify, analyze and mitigate financial risks, Price derivatives and assess hedging performance, Design risk management strategies, Teamwork, Presentation",Data analytics software
TMAE203,Maritime Economics,"International shipping economics and management, Shipping markets, Seaborne trade, Ports, Merchant fleets, Logistics and maritime supply chain management","Analyze industry practices and operational strategies, Assess developments in shipping market, Critical thinking and problem-solving, Communication, Teamwork",
KTEE211,Recent Economic Thought and Institutions,"Modern economic theories, Institutional economics, Keynesian thought, Neoclassical tradition, Economic policies and institutions","Analyze institutional practices and economic policies, Academic communication and reasoning, Self-learning and independent research",
QTRE402,Organizational Behavior,"Social behaviour in organizations, Personality, values, attitudes, job satisfaction, emotions, moods, Motivational theories, Decision-making processes, Group behaviour, High-performance teams, Organizational systems, structures, cultures, and change","Apply OB concepts to workplace situations, Management and human resource problem-solving, Teamwork, Communication, Presentation",
TCHE417,International Trade Finance,"Principles and practices of international trade finance, Risks in international trade, Documents in international trade financing, Trade finance methods (performance bonds, guarantees), Financial crime, Legal regulations in international trade finance","Mitigate international trade risks, Propose solutions for enterprise trade financing, Data analysis, Independent and teamwork, English communication",
QTRE305,Business Ethics,"Ethics, business ethics, and professional ethics, Corporate Social Responsibility (CSR), Theories of ethics and business, Stakeholder roles, Principles of marketing, human resource, accounting, and environmental management ethics","Debate and defend points of view on ethical principles, Problem-solving and decision-making in management, Teamwork, Communication, Presentation",
TMAE336,Logistics and International Freight Forwarding,"International transportation and logistics, Sea, air, road, and multimodal transport, Carrier liability, Transportation contracts","Arranging transportation processes, Process analysis and decision making, Interpersonal communication, Teamwork",
DASE200/DASH200,Học máy (Machine learning),"Học có giám sát (supervised), Học không giám sát (unsupervised), Hồi quy, Phân loại, Phân cụm, Học sâu, Xác định biến số, Đánh giá mô hình, Điều chỉnh tham số, Mô hình dự báo","Áp dụng kỹ thuật học máy vào bài toán kinh tế - kinh doanh, Mô hình hóa số liệu, Xây dựng mô hình dự báo, Trình bày kết quả phân tích","Python, TensorFlow, scikit-learn"
QTRE309,Principles of entrepreneurship (Khởi sự kinh doanh),"Attributes of entrepreneurs, Searching for business opportunities, Evaluating business plans, Marketing, operations, HR management, and financial management in small businesses","Plan, finance, develop and operate a new business, Build business ideas, Develop a business plan, Teamwork, Presentation",
KTEE311,Investment Economics,"Development investment, Investment capital mobilization sources, International relations in investment, Formulation and evaluation of investment projects, State management of investment, Financial and economic analytical tools","Project planning and evaluation, Analyze investment activities, Formulate and assess investment projects",
QTRE311,Data Analysis,"Data manipulation, Predictive analytics, Decisions under uncertainty, Business analysis formulation","Data-driven business decision making, Develop, report, and analyze business data, Apply proper method for specific case study, Teamwork",Excel
TCHE308,Sustainable Finance (Tài chính bền vững),"Environmental, social, and governance (ESG) factors, Sustainable finance, Impact investing, Socially responsible investment strategies, Corporate sustainability risks","Analyze ESG metrics, Design sustainable finance solutions, Investment strategy evaluation, Teamwork, Foreign language communication",
COSE304/COSH304,Internet vạn vật (Internet of Things),"Nền tảng phần cứng và phần mềm IoT, Cảm biến cơ bản, Máy tính một bảng mạch (SCB), Giao thức truyền dữ liệu phổ biến, Quy trình thiết kế ứng dụng IoT","Thiết kế và phát triển ứng dụng IoT, Giám sát, thu thập thông tin và điều khiển bằng IoT, Cài đặt, triển khai và đánh giá ứng dụng IoT, Trình bày báo cáo, Làm việc nhóm",
TMAE302,International Trade Transactions,"Methods of transactions (direct sale, intermediary, re-export, countertrade, auction, bidding, franchise), International trade customs (Incoterms), International sales contracts, Export and import activities (market research, partner selection, negotiation, contract execution)","Export-import process analysis, Negotiation, Contract execution, Communication, Presentation",
DASE300/DASH300,Phân tích dữ liệu trong kinh tế - kinh doanh,"Phân tích thống kê, Trực quan hóa dữ liệu, Mô hình dự đoán, Phương pháp kinh tế lượng, Mô hình trong học máy, Quyền riêng tư và bảo mật dữ liệu","Thu thập, làm sạch, phân tích và trực quan hóa dữ liệu, Giải quyết vấn đề kinh tế - kinh doanh bằng phân tích dữ liệu, Đánh giá các giải pháp phân tích dữ liệu","Python, R, Power BI, Tableau"
KTEE404,Environmental Economics,"Economy and environment interactions, Environmental protection and sustainable development, Economic tools and theories for environmental problems","Analyze environmental issues, Decision-making, Independent research, Presentation, Teamwork",
TCHE424,Financial Statement Analysis,"Financial statement analysis framework, Balance sheet, income statement, cash flow statement, Revenue recognition principles, Accrual accounting, Free cash flow to the firm (FCFF), Free cash flow to equity (FCFE), Financial ratios, Business models of various industries","Analyze and forecast company performance, Appraise financial performance, Academic English, Teamwork",FiinPro database
QTRE304,Emerging Issues in Management,"Digital transformation and AI for management, Data-driven decision making, Platform business models and creative economy, Sustainability, People management in hybrid and gig settings, Innovation management and agile/ambidextrous organizing, Risk and business-continuity management in VUCA-BANI, Digital ethics and data governance, PESTLE and SWOT, Lewin's Change Model, Kotter's 8-Step Model, Business Process Re-engineering (BPR), Management by Objectives (MBO), Balanced Scorecard, OKRs, McKinsey's 7-S Framework, Design Thinking","Scan and analyze shifts in business environment, Apply contemporary management tools, Change management planning, Strategic implementation, Performance evaluation, Teamwork","Business model canvases, Analytic dashboards"
COSE303/COSH303,Công nghệ phần mềm (Software Engineering),"Mô hình phát triển phần mềm, Quy trình xây dựng phần mềm (lập kế hoạch, khảo sát, phân tích, thiết kế, cài đặt, kiểm thử, tích hợp, bảo trì), Nguyên lý kỹ thuật phần mềm (yêu cầu, thiết kế, kiểm tra), Phân tích sơ đồ dòng dữ liệu (DFD), Phân tích hướng đối tượng sử dụng UML, Kiểm tra đánh giá hệ thống, Quản trị và ước lượng dự án","Phát triển phần mềm thực tế, Sử dụng công cụ UML để vẽ sơ đồ, biểu đồ, Đọc hiểu tài liệu kĩ thuật UML",UML tools
COSE301/COSH301,System Analysis and Design,"Phương pháp phân tích thiết kế hướng chức năng, Phương pháp phân tích thiết kế hướng đối tượng, Mô hình hóa nghiệp vụ, Phân tích yêu cầu, Thiết kế hệ thống, Sơ đồ lớp UML, Phân tích use case, Mối quan hệ thực thể - liên kết (ERD), Thiết kế CSDL","Xây dựng quy trình thiết kế hệ thống, Khảo sát hệ thống cũ, Sử dụng công cụ UML để vẽ sơ đồ, biểu đồ, Đọc hiểu tài liệu kĩ thuật",UML tools
